 # trial_number 	message_size	   time_elapsed (s)
           0              1       3.504753112792969E-005
           1              2       2.861022949218750E-006
           2              4       1.907348632812500E-006
           3              8       1.907348632812500E-006
           4             16       1.096725463867188E-005
           5             32       1.907348632812500E-006
           6             64       2.145767211914063E-006
           7            128       2.145767211914063E-006
           8            256       2.145767211914063E-006
           9            512       1.907348632812500E-006
          10           1024       2.193450927734375E-005
          11           2048       1.811981201171875E-005
          12           4096       2.288818359375000E-005
          13           8192       4.506111145019531E-005
          14          16384       6.294250488281250E-005
          15          32768       2.059936523437500E-004
          16          65536       2.458095550537109E-004
          17         131072       4.770755767822266E-004
          18         262144       9.160041809082031E-004
          19         524288       1.821041107177734E-003
          20        1048576       3.643035888671875E-003
          21        2097152       6.323099136352539E-003
          22        4194304       1.284193992614746E-002
          23        8388608       1.488900184631348E-002
          24       16777216       3.140401840209961E-002
          25       33554432       6.240701675415039E-002
          26       67108864       0.124368906021118     
          27      134217728       0.245210170745850     
          28      268435456       0.485427141189575     
          29      536870912       0.974655151367188     
          30     1073741824       1.94988012313843     
